date,tracking_code,campaignname,adgroup,keyword,Impressions,Clicks, cost 
2016-12-25,ps_ggl_63334,B2C_NB_Fed Volatility_Standard,Federal Funds Broad Match Modified,+federal +x +rate,131.00,9,46.29
2016-12-25,ps_ggl_63105,B2C_NB_Fed Volatility_Standard,Interest Rates Broad Match Modified,+new +interest +rates,211.00,9,146.19
2016-12-25,ps_ggl_41990,B2C_NB_Retirement Plans_Standard,Retirement Funds Phrase,retirement funds,450.00,9,69.13
2016-12-25,ps_ggl_60551,B2C_NB_Election 2016_Standard_DT,Donald Trump President Broad Match Modified,+trump +as +president,685.00,10,23.47
2016-12-25,ps_ggl_63168,B2C_NB_Fed Volatility_Standard,US Interest Rates Broad Match Modified,+us +interest +rates,254.00,11,61.66
2016-12-25,ps_ggl_50702,B2C_NB_Market Fluctuations_Proper Perspective,Investment Returns Broad Match Modify,+return +on +investments,589.00,11,100.14
2016-12-25,ps_ggl_40690,B2C_NB_Retirement Plans_Standard,Retirement Saving Phrase,retirement savings,697.00,11,77.09
2016-12-25,ps_ggl_63169,B2C_NB_Fed Volatility_Standard,High Interest Rates Broad Match Modified,+high +interest +rates,343.00,12,173.55
2016-12-25,ps_ggl_41899,B2C_NB_Growth Funds_Standard,Growth Fund Phrase,growth funds,330.00,12,112.64
2016-12-25,ps_msn_50549,B2C_NB_Market Fluctuations_Nearing Retirement,Retirement Income Investments Broad Match Modify,+retirement +investment +income,481.00,12,52.70
2016-12-25,ps_ggl_63251,B2C_NB_Fed Volatility_Standard,Federal Reserve Broad Match Modified,+the +federal +reserve,1300.00,13,94.91
2016-12-25,ps_ggl_50879,B2C_NB_Market Fluctuations_Timing The Market,Market Timing Broad Match Modify,+stock +market +time,552.00,13,68.09
2016-12-25,ps_ggl_42075,B2C_NB_Retirement Plans_Standard,Retirement Plan Phrase,retirement planning,847.00,13,103.97
2016-12-25,ps_ggl_63276,B2C_NB_Fed Volatility_Standard,Interest Rate History Broad Match Modified,+interest +rate +history,105.00,14,40.67
2016-12-25,ps_msn_64012,B2C_NB_Fed Volatility_Standard,Federal Interest Rate Broad Match Modified,+fed +rate,183.00,14,13.09
2016-12-25,ps_ggl_40857,B2C_BR_College 529_Standard,College America 529 Broad Match Modify,collegeamerica 529 savings plan,98.00,15,36.66
2016-12-25,ps_ggl_41138,B2C_NB_401K_Standard,401K Exact,401k,608.00,15,72.51
2016-12-25,ps_ggl_50862,B2C_NB_Market Fluctuations_Strategies For Investing,Investing In Stocks Broad Match Modify,+investing +in +the +stock +market,338.00,15,99.83
2016-12-25,ps_ggl_54025,B2C_NB_Brexit_Standard,Brexit,brexit,979.00,16,64.26
2016-12-25,ps_ggl_60441,B2C_NB_Election 2016_Standard_DT,Donald Trump General Exact,donald trump news,1397.00,16,40.89
2016-12-25,ps_ggl_63309,B2C_NB_Fed Volatility_Standard,Federal Reserve Exact,federal reserve,1005.00,16,21.17
2016-12-25,ps_ggl_50719,B2C_NB_Market Fluctuations_Proper Perspective,Investment Returns Broad Match Modify,+investing +returns,941.00,16,116.80
2016-12-25,ps_ggl_40978,B2C_NB_Retirement Plans_Standard,Retirement Plan Phrase,retirement plan,824.00,16,139.72
2016-12-25,ps_ggl_41146,B2C_BR_Retirement Plans_Standard,Company X  Retirement Plans Exact,company x retirement,89.00,19,24.07
2016-12-25,ps_ggl_63247,B2C_NB_Fed Volatility_Standard,US Interest Rates Broad Match Modified,+interest +rate +us,224.00,19,50.10
2016-12-25,ps_ggl_41991,B2C_NB_IRA_Standard,IRA Phrase,iras,2179.00,19,165.20
2016-12-25,ps_ggl_50672,B2C_NB_Market Fluctuations_Past Market Declines,US Stock Market Exact,us stocks market,394.00,19,20.47
2016-12-25,ps_msn_61348,B2C_NB_Election 2016_Standard_DT,Donald Trump General Broad Match Modified,+news +trump,1244.00,20,35.10
2016-12-25,ps_ggl_63133,B2C_NB_Fed Volatility_Standard,Interest Rates Going Up Broad Match Modified,+interest +rate +going +up,206.00,20,114.27
2016-12-25,ps_ggl_63196,B2C_NB_Fed Volatility_Standard,Interest Rates Raise Broad Match Modified,+interest +rate +rise,572.00,21,122.87
2016-12-25,ps_msn_50521,B2C_NB_Market Fluctuations_Past Market Declines,Stock Market History Broad Match Modify,+stocks +history,351.00,21,47.18
2016-12-25,ps_msn_50485,B2C_NB_Market Fluctuations_Proper Perspective,Investment Returns Broad Match Modify,+return +investment,365.00,21,146.73
2016-12-25,ps_ggl_41151,B2C_NB_Simple IRA_Standard,Simple IRA Phrase,simple ira,470.00,21,167.20
2016-12-25,ps_ggl_63197,B2C_NB_Fed Volatility_Standard,Interest Rate History Broad Match Modified,+historic +interest +rates,157.00,23,62.94
2016-12-25,ps_ggl_63206,B2C_NB_Fed Volatility_Standard,Current Rates Exact,current interest rates,266.00,24,120.98
2016-12-25,ps_ggl_63335,B2C_NB_Fed Volatility_Standard,Interest Rates Today Exact,interest rates today,243.00,25,117.60
2016-12-25,ps_ggl_63339,B2C_NB_Fed Volatility_Standard,Current Rates Broad Match Modified,+current +interest +rates,308.00,26,259.34
2016-12-25,ps_ggl_40860,B2C_BR_401K_Standard,Company X  401K Exact,company x 401k,57.00,29,37.59
2016-12-25,ps_ggl_41777,B2C_BR_Mutual Funds_Standard,Company X  Mutual Funds Broad Match Modify,+company +fund mutual fund,288.00,29,31.76
2016-12-25,ps_ggl_63313,B2C_NB_Fed Volatility_Standard,High Interest Rates Broad Match Modified,+highest +interest +rates,444.00,31,585.71
2016-12-25,ps_msn_38704,B2C_NB_Retirement Plans_Standard,Best Retirement Plan Phrase,best retirement plan,601.00,35,160.52
2016-12-25,ps_ggl_63306,B2C_NB_Fed Volatility_Standard,Federal Interest Rate Broad Match Modified,+fed +rate,793.00,36,260.95
2016-12-25,ps_ggl_41575,B2C_BR_401K_Standard,Company X  401K Broad Match Modify,+company +x 401,123.00,37,50.90
2016-12-25,ps_ggl_63134,B2C_NB_Fed Volatility_Standard,Treasury Broad Match Modified,+treasury +rates,1018.00,42,249.25
2016-12-25,ps_ggl_50909,B2C_NB_Market Fluctuations_Past Market Declines,US Stock Market Broad Match Modify,+us +stocks +market,953.00,43,52.30
2016-12-25,ps_msn_59186,B2C_BR_Wisdom of Experience_Standard,Wisdom of Experience Broad Match Modified,company x wisdom of experience,2789.00,51,211.91
2016-12-25,ps_msn_59185,B2C_BR_Wisdom of Experience_Standard,Wisdom of Experience Broad Match Modified,wisdom of experience,5383.00,60,422.63
2016-12-25,ps_ggl_63332,B2C_NB_Fed Volatility_Standard,Current Rates Broad Match Modified,+interest +rate +current,863.00,65,679.44
2016-12-25,ps_ggl_63195,B2C_NB_Fed Volatility_Standard,Treasury Broad Match Modified,+treasury +bonds,1769.00,65,428.60
2016-12-25,ps_ggl_63099,B2C_NB_Fed Volatility_Standard,Interest Rates Today Broad Match Modified,+interest +rates +today,613.00,66,629.17
2016-12-25,ps_ggl_50808,B2C_NB_Market Fluctuations_Past Market Declines,Stock Market History Broad Match Modify,+stocks +history,1817.00,69,118.42
2016-12-25,ps_msn_50503,B2C_NB_Market Fluctuations_Past Market Declines,Stock Market Performance Broad Match Modify,+stock +market +stocks,3096.00,107,379.80
2016-12-25,ps_ggl_63237,B2C_NB_Fed Volatility_Standard,Federal Reserve Broad Match Modified,+federal +reserve,12966.00,120,1137.59
2016-12-25,ps_ggl_60556,B2C_NB_Election 2016_Standard_DT,Donald Trump General Exact,donald trump,19461.00,155,534.03
2016-12-25,ps_ggl_60700,B2C_NB_Election 2016_Standard_DT,Donald Trump General Broad Match Modified,+news +trump,10513.00,166,616.94
2016-12-25,ps_ggl_40802,B2C_NB_401K_Standard,401K Phrase,401k,6545.00,169,1442.17
